code,name,name_short,name_tv,gender,function,country_code,country_full,nationality_full,nationality_code,height,weight,Disciplines_1,birth_date,Age
1564420,BRAHARU Maksym,BRAHARU M,Maksym BRAHARU,Male,Athlete,UKR,Ukraine,Ukraine,UKR,175,0,Football,21-07-2002,22
1564426,FESIUN Kiril,FESIUN K,Kiril FESIUN,Male,Athlete,UKR,Ukraine,Ukraine,UKR,191,0,Football,07-08-2002,22
1564430,KRYSKIV Dmytro,KRYSKIV D,Dmytro KRYSKIV,Male,Athlete,UKR,Ukraine,Ukraine,UKR,180,0,Football,06-10-2000,23
1564435,MARTYNIUK Oleksandr,MARTYNIUK O,Oleksandr MARTYNIUK,Male,Athlete,UKR,Ukraine,Ukraine,UKR,176,0,Football,25-11-2001,22
1564438,MYKHAILENKO Mykola,MYKHAILENKO M,Mykola MYKHAILENKO,Male,Athlete,UKR,Ukraine,Ukraine,UKR,183,0,Football,22-05-2001,23
1564442,OCHERETKO Oleh,OCHERETKO O,Oleh OCHERETKO,Male,Athlete,UKR,Ukraine,Ukraine,UKR,181,0,Football,25-05-2003,21
1564444,RUBCHYNSKYI Valentyn,RUBCHYNSKYI V,Valentyn RUBCHYNSKYI,Male,Athlete,UKR,Ukraine,Ukraine,UKR,165,0,Football,15-02-2002,22
1564445,SALIUK Volodymyr,SALIUK V,Volodymyr SALIUK,Male,Athlete,UKR,Ukraine,Ukraine,UKR,186,0,Football,25-06-2002,22
1564448,SIKAN Danylo,SIKAN D,Danylo SIKAN,Male,Athlete,UKR,Ukraine,Ukraine,UKR,185,0,Football,16-04-2001,23
1564453,SYCH Oleksii,SYCH O,Oleksii SYCH,Male,Athlete,UKR,Ukraine,Ukraine,UKR,185,0,Football,01-04-2001,23
1564454,TALOVIEROV Maksym,TALOVIEROV M,Maksym TALOVIEROV,Male,Athlete,UKR,Ukraine,Ukraine,UKR,195,0,Football,28-06-2000,24
1564464,YERMAKOV Georgiy,YERMAKOV G,Georgiy YERMAKOV,Male,Athlete,UKR,Ukraine,Ukraine,UKR,190,0,Football,28-03-2002,22
1564506,CIRILO DUBOYS Yarisleidis,CIRILO DUBOYS Y,Yarisleidis CIRILO DUBOYS,Female,Athlete,CUB,Cuba,Cuba,CUB,0,0,Canoe Sprint,10-05-2002,22
1564508,LOPEZ LAMADRID Yinnoly Francheska,LOPEZ LAMADRID YF,Yinnoly Francheska LOPEZ LAMADRID,Female,Athlete,CUB,Cuba,Cuba,CUB,0,0,Canoe Sprint,15-08-2006,18
1564511,PELIER CORDOVA Jose Ramon,PELIER CORDOVA JR,Jose Ramon PELIER CORDOVA,Male,Athlete,CUB,Cuba,Cuba,CUB,0,0,Canoe Sprint,07-02-2001,23
1564512,ABDELGHANY Abdelrahman,ABDELGHANY A,Abdelrahman ABDELGHANY,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Judo,19-12-1998,25
1564514,SAMY Youssry,SAMY Y,Youssry SAMY,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Judo,15-04-2003,21
1564559,TAKAYAWA Gerard,TAKAYAWA G,Gerard TAKAYAWA,Male,Athlete,FIJ,Fiji,Fiji,FIJ,0,0,Judo,07-11-2005,18
1564574,YARRAJI Jyothi,YARRAJI J,Jyothi YARRAJI,Female,Athlete,IND,India,India,IND,170,0,Athletics,28-08-1999,25
1564579,RAMRAJ Vithya,RAMRAJ V,Vithya RAMRAJ,Female,Athlete,IND,India,India,IND,160,0,Athletics,20-09-1998,25
1564623,LE Duc Phat,LE DP,Duc Phat LE,Male,Athlete,VIE,Vietnam,Vietnam,VIE,180,0,Badminton,01-02-1998,26
1564628,TANG Chih-Chun,TANG CC,TANG Chih-Chun,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,16-03-2001,23
1564630,TAI Yu-Hsuan,TAI YH,TAI Yu-Hsuan,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,09-11-2002,21
1564631,LIN Zih-Siang,LIN ZS,LIN Zih-Siang,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,01-08-2001,23
1564634,LEI Chien-Ying,LEI CY,LEI Chien-Ying,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,17-04-1990,34
1564635,CHIU Yi-Ching,CHIU YC,CHIU Yi-Ching,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,16-10-2003,20
1564638,LI Tsai-Chi,LI TC,LI Tsai-Chi,Female,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,0,0,Archery,02-01-2005,19
1564651,KARLSSON Lovisa,KARLSSON L,Lovisa KARLSSON,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,24-05-1995,29
1564652,DAHLBERG Anton,DAHLBERG A,Anton DAHLBERG,Male,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,10-05-1985,39
1564653,BOBECK Vilma,BOBECK V,Vilma BOBECK,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,05-01-1998,26
1564654,OLSSON Josefin,OLSSON J,Josefin OLSSON,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,23-08-1989,35
1564656,JONSSON Hanna,JONSSON H,Hanna JONSSON,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,20-01-1999,25
1564657,NETZLER Rebecca,NETZLER R,Rebecca NETZLER,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,22-07-1995,29
1564667,HJERTBERG Johanna,HJERTBERG J,Johanna HJERTBERG,Female,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,19-09-1997,26
1564672,JARUDD Emil,JARUDD E,Emil JARUDD,Male,Athlete,SWE,Sweden,Sweden,SWE,0,0,Sailing,27-04-1998,26
1564681,SALPETER Lonah Chemtai,SALPETER LC,Lonah Chemtai SALPETER,Female,Athlete,ISR,Israel,Israel,ISR,165,0,Athletics,12-12-1988,35
1564692,YANG Chun-Han,YANG CH,YANG Chun-Han,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,177,0,Athletics,01-01-1997,27
1564700,PENG Ming-Yang,PENG MY,PENG Ming-Yang,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,TPE,187,0,Athletics,10-06-1998,26
1564718,MEHELBA Azmy,MEHELBA A,Azmy MEHELBA,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,26-03-1991,33
1564734,HAMDY ABDELKADER Mohamed,HAMDY ABDELKADER M,Mohamed HAMDY ABDELKADER,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,07-08-1990,34
1564737,TIYOURI Maor,TIYOURI M,Maor TIYOURI,Female,Athlete,ISR,Israel,Israel,ISR,148,0,Athletics,13-08-1990,34
1564770,BATBAYAR Enkhkhuslen,BATBAYAR E,Enkhkhuslen BATBAYAR,Female,Athlete,MGL,Mongolia,Mongolia,MGL,0,0,Swimming,14-12-2001,22
1564777,KHALIL Remas,KHALIL R,Remas KHALIL,Female,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,01-10-2006,17
1564785,ELGOHARI Hala,ELGOHARI H,Hala ELGOHARI,Female,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,04-05-1996,28
1564792,ABOUSHOKKA Amira,ABOUSHOKKA A,Amira ABOUSHOKKA,Female,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,15-08-1979,45
1564795,IBRAHIM Omar,IBRAHIM O,Omar IBRAHIM,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,01-01-1998,26
1564799,NWANDU Adaku,NWANDU A,Adaku NWANDU,Female,Athlete,NGR,Nigeria,Nigeria,NGR,0,0,Swimming,29-09-2007,16
1564802,KORAYIEM Ibrahim Ahmad Mohammad,KORAYIEM IAM,Ibrahim Ahmad Mohammad KORAYIEM,Male,Athlete,EGY,Egypt,Egypt,EGY,0,0,Shooting,16-04-1987,37
1564809,KIKI Didier,KIKI D,Didier KIKI,Male,Athlete,BEN,Benin,Benin,BEN,187,0,Athletics,30-11-1995,28
1564881,CAN Sena,CAN S,Sena CAN,Female,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,10-11-2001,22
1564882,KELES Ismail,KELES I,Ismail KELES,Male,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,05-03-1988,36
1564884,KOSTADINOVA Antoaneta,KOSTADINOVA A,Antoaneta KOSTADINOVA,Female,Athlete,BUL,Bulgaria,Bulgaria,BUL,0,0,Shooting,17-01-1986,38
1564886,TARHAN Sevval Ilayda,TARHAN SI,Sevval Ilayda TARHAN,Female,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,04-02-2000,24
1564888,YILMAZ Simal,YILMAZ S,Simal YILMAZ,Female,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,21-06-2003,21
1564889,KIROV Kiril,KIROV K,Kiril KIROV,Male,Athlete,BUL,Bulgaria,Bulgaria,BUL,0,0,Shooting,19-02-2000,24
1564893,DIKEC Yusuf,DIKEC Y,Yusuf DIKEC,Male,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,01-01-1973,51
1564907,TUZUN Oguzhan,TUZUN O,Oguzhan TUZUN,Male,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,20-10-1982,41
1564926,KAYA Rumeysa Pelin,KAYA RP,Rumeysa Pelin KAYA,Female,Athlete,TUR,Türkiye,Türkiye,TUR,0,0,Shooting,06-08-2000,24
1564959,BELLO Ayomide Powei,BELLO AP,Ayomide Powei BELLO,Female,Athlete,NGR,Nigeria,Nigeria,NGR,0,0,Canoe Sprint,04-04-2002,22
1564964,JAMES Kirani,JAMES K,Kirani JAMES,Male,Athlete,GRN,Grenada,Grenada,GRN,191,0,Athletics,01-09-1992,31
1564977,OTUEDO Beauty Akinaere,OTUEDO BA,Beauty Akinaere OTUEDO,Female,Athlete,NGR,Nigeria,Nigeria,NGR,0,0,Canoe Sprint,10-10-1997,26
